Id,Label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,stat_inf_class,clustering
lotado,,1,1,2,1,1,2,12,0.2179,0.227992,150.878323,0.001901,0.000864,0.000067,0,1,43,0
diretora,,2,5,7,5,5,10,11,0.260743,0.278946,11299.781812,0.001075,0.009344,0.000112,0,1,18,0.119048
ouvir,,5,5,10,5,5,10,11,0.251812,0.267985,24857.902875,0.001681,0.005013,0.000284,0,1,37,0.011111
reclamando,,1,2,3,2,2,4,11,0.246699,0.261664,465.444873,0.005482,0.002993,0.000052,0,1,67,0
manifestando,,2,2,4,2,2,4,11,0.243634,0.257689,5282.271857,0.002042,0.003925,0.000079,0,1,67,0.083333
existem,,1,1,2,1,1,2,11,0.246676,0.261535,298.983447,0.00014,0.00292,0.000063,0,1,67,0
respeitar,,10,10,20,11,11,22,11,0.270952,0.291075,26655.762572,0.018009,0.019213,0.000484,0,1,43,0.065789
grito,,4,4,8,4,4,8,11,0.225024,0.236625,11514.374989,0.004361,0.001287,0.000171,0,1,37,0.035714
ganhar,,5,6,11,6,6,12,11,0.255896,0.273402,24304.526988,0.00403,0.005075,0.00023,0,1,58,0.036364
peça,,3,2,5,3,3,6,12,0.210022,0.219155,11019.620009,0.000215,0.000266,0.000182,0,1,58,0
segurança,,7,8,15,8,8,16,11,0.265558,0.284429,54240.297681,0.007446,0.010621,0.000389,0,1,8,0.047619
perm,,1,1,2,1,1,2,12,0.163157,0.167382,5185.881052,0.000378,0,0.00007,0,1,8,0
retire,,1,1,2,1,1,2,11,0.194931,0.202077,5185.881052,0,0.00006,0.000089,0,1,8,0
local,,6,6,12,6,6,12,10,0.242073,0.256176,42226.752223,0.001683,0.004711,0.000341,0,1,8,0.009091
concedo,,1,1,2,1,1,2,11,0.214567,0.22448,151.050534,0.000378,0.001201,0.00007,0,1,8,0
pesso,,1,1,2,1,1,2,12,0.212593,0.221768,127.829574,0.001403,0.001135,0.000063,0,1,67,0.5
peço,,21,19,40,22,22,44,11,0.269963,0.289682,157739.660387,0.031871,0.016485,0.000928,0,1,67,0.035256
posicionado,,1,2,3,2,2,4,11,0.226888,0.23869,127.829574,0.001403,0.006034,0.000063,0,1,67,0.5
tribuna,,2,2,4,4,4,8,13,0.162859,0.167282,5176.095238,0.000837,0,0.000061,0,1,49,0.333333
reservada,,1,1,2,1,1,2,12,0.194506,0.201986,5176.095238,0,0.000226,0.000055,0,1,49,0
orador,,6,8,14,8,8,16,11,0.241418,0.256202,27971.924491,0.006343,0.010184,0.000323,0,1,49,0.027473
gro,,1,1,2,1,1,2,11,0.213523,0.223402,38.924494,0.000181,0.001162,0.000062,0,1,58,0.5
ficar,,17,13,30,17,17,34,10,0.260677,0.278799,77204.613982,0.023916,0.009869,0.000712,0,1,21,0.031034
tirar,,16,20,36,20,20,40,11,0.286188,0.310493,102660.205696,0.010974,0.028511,0.000792,0,1,48,0.031746
mando,,1,1,2,1,1,2,12,0.222528,0.233361,240.995463,0.005097,0.000391,0.00005,0,1,48,0.5
venha,,3,3,6,3,3,6,11,0.256886,0.273439,9304.137807,0.002894,0.00762,0.000173,0,1,58,0.1
fica,,4,4,8,4,4,8,11,0.250048,0.266475,13122.514924,0.00434,0.006399,0.00021,0,1,58,0
retirado,,1,1,2,1,1,2,11,0.219462,0.230318,334.904761,0.000587,0.000509,0.000071,0,1,69,0
parlamentar,,23,30,53,36,36,72,10,0.281121,0.305513,127584.860183,0.014279,0.040501,0.001141,0,1,69,0.042353
